,Date Local
241,2013-08-30
242,2013-08-31
243,2013-09-01
244,2013-09-02
245,2013-09-03
246,2013-09-04
247,2013-09-05
248,2013-09-06
249,2013-09-07
250,2013-09-08
251,2013-09-09
252,2013-09-10
253,2013-09-11
254,2013-09-12
255,2013-09-13
256,2013-09-14
257,2013-09-15
258,2013-09-16
259,2013-09-17
260,2013-09-18
261,2013-09-19
262,2013-09-20
263,2013-09-21
264,2013-09-22
265,2013-09-23
266,2013-09-24
267,2013-09-25
268,2013-09-26
269,2013-09-27
270,2013-09-28
271,2013-09-29
272,2013-09-30
273,2013-10-01
274,2013-10-02
275,2013-10-03
276,2013-10-04
277,2013-10-05
278,2013-10-06
279,2013-10-07
280,2013-10-08
281,2013-10-09
282,2013-10-10
283,2013-10-11
284,2013-10-12
285,2013-10-13
286,2013-10-14
287,2013-10-15
288,2013-10-16
289,2013-10-17
290,2013-10-18
291,2013-10-19
292,2013-10-20
293,2013-10-21
294,2013-10-22
295,2013-10-23
296,2013-10-24
297,2013-10-25
298,2013-10-26
299,2013-10-27
300,2013-10-28
301,2013-10-29
302,2013-10-30
303,2013-10-31
304,2013-11-01
305,2013-11-02
306,2013-11-03
307,2013-11-04
308,2013-11-05
309,2013-11-06
310,2013-11-07
311,2013-11-08
312,2013-11-09
313,2013-11-10
314,2013-11-11
315,2013-11-12
316,2013-11-13
317,2013-11-14
318,2013-11-15
319,2013-11-16
320,2013-11-17
321,2013-11-18
322,2013-11-19
323,2013-11-20
324,2013-11-21
325,2013-11-22
326,2013-11-23
327,2013-11-24
328,2013-11-25
329,2013-11-26
330,2013-11-27
331,2013-11-28
332,2013-11-29
333,2013-11-30
334,2013-12-01
335,2013-12-02
336,2013-12-03
337,2013-12-04
338,2013-12-05
339,2013-12-06
340,2013-12-07
341,2013-12-08
342,2013-12-09
343,2013-12-10
344,2013-12-11
345,2013-12-12
346,2013-12-13
347,2013-12-14
348,2013-12-15
349,2013-12-16
350,2013-12-17
351,2013-12-18
352,2013-12-19
353,2013-12-20
354,2013-12-21
355,2013-12-22
356,2013-12-23
357,2013-12-24
358,2013-12-25
359,2013-12-26
360,2013-12-27
361,2013-12-28
362,2013-12-29
363,2013-12-30
364,2013-12-31
